2.504947736752889398e-01,2.503430481311031963e-01,2.481585711081902013e-01,2.534555087089558345e-01,2.509990012892225897e-01,2.509886866606357292e-01,2.515833463117520541e-01,2.470424697891738797e-01,2.471846853753517925e-01,2.491229063799344778e-01,2.497684854694786905e-01,2.492172483142982564e-01,2.449066525455572685e-01,2.468858357354269673e-01,2.527469408029267006e-01,2.531392305017928224e-01,2.488594274535622375e-01,2.477397517545237016e-01,2.509635146257582217e-01,2.489570046413529802e-01,2.516694800560331235e-01,2.490588479579331771e-01,2.511008003797325361e-01,2.465577888277885044e-01,2.543650578713310129e-01
2.878029552687719206e-01,2.861945168315599419e-01,2.872809936477387915e-01,2.885522281041681958e-01,2.905661442616737089e-01,2.894798845152797839e-01,2.878546554708589778e-01,2.883857561276867987e-01,2.879107380635145264e-01,2.855419788869021924e-01,2.844272032099371961e-01,2.860108256821976558e-01,2.915795246299833776e-01,2.871316373386133547e-01,2.864070429188204092e-01,2.887605971957838968e-01,2.874302879316116277e-01,2.871198668946153276e-01,2.858253323452301098e-01,2.904538988734347571e-01,2.910706609173742687e-01,2.846436198668939599e-01,2.897880672294753657e-01,2.852487683336618063e-01,2.865631445458148852e-01
3.299962469681972932e-01,3.290877353359708546e-01,3.344703320232799149e-01,3.288062935841158385e-01,3.289373974322836180e-01,3.302848003116009012e-01,3.321029338736578018e-01,3.330686745966121576e-01,3.281118900456380105e-01,3.273865339291016641e-01,3.310991207329399000e-01,3.309570272431955340e-01,3.336419647539987654e-01,3.352918658671353302e-01,3.284797678001957766e-01,3.296124757744351430e-01,3.342608911860693310e-01,3.304697023294821956e-01,3.312965533793167383e-01,3.275699063479254880e-01,3.284701570737859622e-01,3.274295069814747716e-01,3.327356180652986106e-01,3.333185488914788830e-01,3.323873910092719486e-01
3.850168555946804072e-01,3.795621507889924140e-01,3.837977505040482407e-01,3.799548627086605790e-01,3.869250337871639744e-01,3.824431146090406242e-01,3.735239636699513865e-01,3.793982168833519020e-01,3.825298589956020456e-01,3.810876934690224926e-01,3.829286187166219269e-01,3.832709830409584684e-01,3.893398015117160438e-01,3.819764527224597805e-01,3.826691115176639735e-01,3.801323517140373642e-01,3.784406941343504416e-01,3.773543478568229803e-01,3.808895813252272666e-01,3.838639107168612119e-01,3.782767849182524511e-01,3.804659684468794101e-01,3.794578577113529860e-01,3.795098228096540072e-01,3.833334330605792095e-01
4.360406481349577423e-01,4.361674138803186551e-01,4.299914549532692920e-01,4.401677216293889972e-01,4.377504009281425468e-01,4.327364747410764045e-01,4.334738644728088341e-01,4.410889805744527270e-01,4.322488112685230477e-01,4.348927132878990243e-01,4.428858664106087306e-01,4.417177201502296424e-01,4.400903327254107045e-01,4.366324578092677378e-01,4.280696933584143826e-01,4.399773441854065714e-01,4.417530938013710107e-01,4.328694957618323680e-01,4.364690398008842509e-01,4.392763189651316957e-01,4.413451882645684221e-01,4.338786670270474710e-01,4.409544704626467970e-01,4.351507454459343505e-01,4.407979224013864328e-01
4.957120420882085710e-01,5.018416304828814400e-01,5.000164991631730338e-01,5.010926374925254168e-01,5.043396784115221632e-01,5.029240028155290698e-01,4.952175219975266107e-01,4.928304430881585985e-01,4.959794903591893678e-01,5.056931347294619794e-01,5.006536951389560786e-01,5.003911172555193243e-01,5.120944930899823389e-01,4.987137299244036037e-01,4.952571870133104515e-01,4.968588874024830737e-01,5.028897739625345364e-01,4.989682559967176800e-01,4.973171219560733047e-01,4.963239961267867928e-01,5.031840384229769869e-01,5.048103991430318294e-01,5.027962893866645411e-01,5.042040030024023123e-01,4.983230350991620927e-01
5.837891686750988907e-01,5.807690157425233757e-01,5.630073347481027168e-01,5.790996577466392958e-01,5.772364148200836986e-01,5.879864839881323579e-01,5.722117221434022127e-01,5.756533223108987185e-01,5.823060423818124942e-01,5.612240220048766437e-01,5.728493273049845014e-01,5.806457110953699985e-01,5.733673349836850841e-01,5.850152749735314517e-01,5.750145473364066673e-01,5.799010967622877377e-01,5.821969447266657216e-01,5.844389703919299350e-01,5.788591488265393270e-01,5.771615317946789947e-01,5.701814464985006659e-01,5.715876823005262564e-01,5.776797351323441632e-01,5.813333138272521738e-01,5.819970340791389418e-01
6.620485882985335246e-01,6.540107133276462648e-01,6.481227448504863764e-01,6.535888313886809575e-01,6.709127536131054281e-01,6.700041349149175041e-01,6.745169592005417769e-01,6.587091107751673613e-01,6.718973163498050960e-01,6.563269237569151482e-01,6.689815969896393266e-01,6.668860014980664275e-01,6.537490334969253691e-01,6.591985385976903977e-01,6.775713624451262795e-01,6.673663902230434486e-01,6.590133592086205860e-01,6.702550939293004939e-01,6.539654172176028180e-01,6.639804662242098088e-01,6.626943429341961567e-01,6.606786532499804299e-01,6.501504348936282263e-01,6.755007501375300816e-01,6.649962878296259428e-01
7.592454088910154386e-01,7.616968697099447683e-01,7.640349603836031900e-01,7.628496153430901483e-01,7.603981524054747032e-01,7.546733398950502547e-01,7.674088780745933480e-01,7.713282886994123899e-01,7.533348261971333226e-01,7.532711255811231910e-01,7.627840756606462103e-01,7.668047070623388306e-01,7.649753791318703033e-01,7.721535199922142656e-01,7.758986568109011994e-01,7.653890963562443028e-01,7.727975591589462123e-01,7.606390530088331658e-01,7.567284470012446418e-01,7.933702822360944040e-01,7.626487947665616662e-01,7.605047692444116825e-01,7.584767944280362828e-01,7.620421940705355279e-01,7.743575600964545114e-01
8.887005636053213475e-01,8.916420550575133719e-01,8.746598180228074559e-01,8.850707291134813914e-01,8.902136021145435896e-01,8.943092443920145351e-01,8.831825057754580932e-01,8.909736078137824311e-01,8.993588522459227130e-01,8.670234857067877776e-01,8.852105025282621664e-01,9.037846937661674351e-01,8.788038315284617541e-01,8.954519065839718905e-01,8.856568172318632914e-01,8.961871768659078752e-01,8.746887151198433630e-01,8.831948501773124738e-01,8.937266998538514473e-01,8.729300944551495745e-01,8.717243621325350134e-01,8.866465630982941493e-01,8.765205268127196359e-01,8.938616278029415385e-01,8.932225332838851228e-01
