2.193630770754331388e+04 2.168527106213991283e+04 2.189079128071037849e+04 2.180619566541849417e+04 2.100832863818603437e+04 2.383499830318278327e+04 2.185582577312337162e+04 2.152350716442840348e+04 2.172498139801716388e+04 2.145195933917137518e+04
1.442653085252839264e+04 1.438802876046480560e+04 1.425542745572601962e+04 1.418916135660977488e+04 1.414122432952962663e+04 1.485244174890297109e+04 1.372284536149664382e+04 1.394008997302404714e+04 1.490399605892364525e+04 1.435831689987726895e+04
1.239977357004607438e+04 1.278351078084832443e+04 1.249353356816413543e+04 1.229350069614849781e+04 1.221534518950618258e+04 1.350159327412583116e+04 1.275527249996266437e+04 1.343637365071766362e+04 1.172752752984278595e+04 1.280374619219332999e+04
1.014374257196793405e+04 1.109451584582934447e+04 1.067143384054027592e+04 1.059579174128469458e+04 1.061335152780747012e+04 1.088959398900603264e+04 1.086561291185999653e+04 1.071629104397930860e+04 9.754721006470737848e+03 1.017759664919209899e+04
9.005792876171397438e+03 9.427236985013785670e+03 8.914960055054983968e+03 8.915562248471793282e+03 9.082632593291305966e+03 9.181341643363166440e+03 8.645369508855172171e+03 9.033786329890670459e+03 9.034970278297727418e+03 8.912737223647036444e+03
8.310984342728384945e+03 8.207941386662510922e+03 7.772659722910537312e+03 8.253994153625048057e+03 7.972083957295569235e+03 7.879741493468424778e+03 7.856135742164613475e+03 8.283671484606584272e+03 8.240437644437224662e+03 8.312997772353108303e+03
7.193713162809974165e+03 7.311927872461702464e+03 7.439325266066002769e+03 6.946025297713733380e+03 7.089834294553787004e+03 7.170565369070493944e+03 7.280592827494669109e+03 7.262184717324817939e+03 7.240957370626299962e+03 7.046327792433167815e+03
6.624489746561202082e+03 6.416291148949798298e+03 6.099424132355784423e+03 6.645671058732932579e+03 6.892594154875320783e+03 7.058814706522898632e+03 6.628204527629792210e+03 6.813008610497716290e+03 7.003705670772210397e+03 6.638660020206542868e+03
6.082641877952855793e+03 6.525170147133973842e+03 6.142750873142931596e+03 6.290690912608195504e+03 6.268054263190989332e+03 6.307876142273642472e+03 6.641573890442638913e+03 6.253005415606871793e+03 6.149256981072793678e+03 6.600073027899838053e+03
5.508378886493244863e+03 5.804292180803795418e+03 5.954128532962344252e+03 6.411425260927338968e+03 5.965945457730330418e+03 5.600358366972776821e+03 6.147536331400357994e+03 5.740594755499409075e+03 5.898290628415044921e+03 6.031358899110500715e+03
5.273621739156304102e+03 5.942430882064954858e+03 5.583804469765461363e+03 5.524229038844715433e+03 5.475932333320672114e+03 5.756030551986518731e+03 5.818039585186665136e+03 5.354951742127117541e+03 5.874324226730896953e+03 5.539973009393109351e+03
