1.890333034070309842e-03 2.307478247111529115e-03
4.227014026251991324e-03 4.736276766893721471e-03
6.309209582343503799e-03 7.393256277120683999e-03
8.203847958458116915e-03 9.263158647973083679e-03
1.096531186357384453e-02 1.196619765439032278e-02
1.274502642557939769e-02 1.441919323462335575e-02
1.483934348958721068e-02 1.636160871784557783e-02
1.799102621692068998e-02 1.906729008967903566e-02
1.894546528377399550e-02 2.089217983680878923e-02
2.147021369978588737e-02 2.278122525787757910e-02
4.549117475248545123e-02 4.785427209973996260e-02
7.248756784763459027e-02 7.590204357889647480e-02
1.044554060004145579e-01 1.097722740204482572e-01
1.423741748407325869e-01 1.480904413209495896e-01
1.797018843336149474e-01 1.861420449337483074e-01
2.170608667180309870e-01 2.228889120287056436e-01
2.507678294696911170e-01 2.603973035806403935e-01
2.913223242555683656e-01 2.971404353713517077e-01
3.249874806143687733e-01 3.332233756211487874e-01
3.263053117478703635e-01 3.318702499758013902e-01
5.577841445141886734e-01 5.607248021640953706e-01
6.744414412715934448e-01 6.805728327637051711e-01
7.472277032163860966e-01 7.509423687046441476e-01
7.915618472071256351e-01 7.949663646043855225e-01
8.246476111017573274e-01 8.273971929638792577e-01
8.482059475315464336e-01 8.499596316567723520e-01
8.655838689809336461e-01 8.673139498345563414e-01
8.796180310027670313e-01 8.816077875609751313e-01
8.899599872400015821e-01 8.918637892501474207e-01
