4.862507066675194056e-01 4.903150508929610685e-01
4.871847798685968178e-01 4.902081342763787153e-01
4.886090249932255047e-01 4.924445199675115403e-01
4.921931842624388542e-01 4.958727280933126202e-01
4.935050010460551584e-01 4.964175062125498195e-01
4.963574947838378382e-01 4.996339699634241294e-01
4.978001170788139973e-01 5.010138115855636842e-01
5.008511305079799136e-01 5.045437020372258718e-01
4.998525831378692330e-01 5.032271830560149928e-01
5.032801012882552882e-01 5.064207354132486127e-01
5.063960227606776332e-01 5.093404640231202762e-01
5.073479804097833501e-01 5.108497100177682437e-01
5.090566691259832410e-01 5.125471816858051533e-01
5.112548449394695993e-01 5.145207259258828270e-01
5.134620955062602077e-01 5.171319589446204956e-01
5.157362231684474718e-01 5.191504955878207817e-01
5.180788413519661351e-01 5.218172172776154305e-01
5.184001186830666796e-01 5.211434449094334287e-01
5.211450417218325137e-01 5.241804526711250078e-01
5.224968326339636260e-01 5.260563574213945603e-01
5.251664709467886993e-01 5.284629400635620922e-01
